domain,feature_name,concept_id,concept_name,final_disposition,target_feature,final_rationale,definition_source,infection_scope,manual_override_applied_05A,manual_override_applied_05A1,feature_label,status
condition,cancer_history,4242353,Benign neoplasm of lung,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,315505,Benign neoplasm of lymph node,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,30679,Benign neoplasm of major salivary gland,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,200670,Benign neoplasm of male genital organ,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,373166,Benign neoplasm of mandible,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4242805,Benign neoplasm of maxillary sinus,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,438105,Benign neoplasm of mediastinum,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4003171,Benign neoplasm of meninges,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4001665,Benign neoplasm of mesothelial tissue of peritoneum,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4031134,Benign neoplasm of mesothelial tissue of pleura,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,372861,Benign neoplasm of middle ear,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4240022,Benign neoplasm of minor salivary gland,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,137813,Benign neoplasm of mouth region,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4240028,Benign neoplasm of muscle,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,442097,Benign neoplasm of nasal cavity,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4337183,Benign neoplasm of nasopharyngeal wall,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4242368,Benign neoplasm of neck,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,373432,Benign neoplasm of nervous system,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4240030,Benign neoplasm of nose,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4154632,"Benign neoplasm of nose, middle ear and accessory sinuses",EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,4303106,Benign neoplasm of oral cavity,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,433987,Benign neoplasm of orbit,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
condition,cancer_history,435205,Benign neoplasm of oropharynx,EXCLUDE,,"Excluded benign, uncertain, in-situ, non-neoplastic malignant terminology, or noncase context.",05A_original_clinical_curation,,False,,Cancer history,Excluded
